seed,policy,training_factor_saving_percent,deployment_payload_saving_percent,rank_sample_product_saving_percent
42,quality,43.47619047619048,37.84643082356336,43.458558674564344
42,domain,43.57142857142857,0.27161953211505274,43.53732080006868
43,quality,41.476190476190474,36.105412100025944,42.46154084734197
43,domain,41.57142857142857,0.25915175031305804,42.52445050968716
44,quality,40.61904761904762,35.35926121850991,41.83032547032162
44,domain,40.523809523809526,0.252621007464382,41.78133224102527
