seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,fixed_quality,2,1.5699999999999998,157,10000,2.673635949726105,685440,6384,2867312
42,fixed_quality,3,2.19,219,10000,2.244998208885193,685440,6384,2867312
42,fixed_quality,4,2.92,292,10000,1.9542530777013303,685440,6384,2867312
42,fixed_quality,5,3.62,362,10000,1.7709575886654854,685440,6384,2867312
42,fixed_quality,6,4.14,414,10000,1.6520322259020805,685440,6384,2867312
42,fixed_quality,7,4.41,441,10000,1.5767739140486716,685440,6384,2867312
42,fixed_quality,8,4.68,468,10000,1.5256685912299157,685440,6384,2867312
42,fixed_quality,9,5.16,516,10000,1.4891827188253404,685440,6384,2867312
42,fixed_quality,10,6.25,625,10000,1.4583034212017059,685440,6384,2867312
42,fixed_quality,11,6.76,676,10000,1.4336340771830083,685440,6384,2867312
42,fixed_quality,12,7.359999999999999,736,10000,1.4071772319746016,685440,6384,2867312
42,fixed_quality,13,7.64,764,10000,1.390090287322998,685440,6384,2867312
42,fixed_quality,14,7.86,786,10000,1.3693873357820512,685440,6384,2867312
42,fixed_quality,15,8.48,848,10000,1.357131144864559,685440,6384,2867312
42,fixed_quality,16,8.870000000000001,887,10000,1.344529623711109,685440,6384,2867312
42,fixed_quality,17,9.1,910,10000,1.3289021567344665,685440,6384,2867312
42,fixed_quality,18,9.49,949,10000,1.3213463127708436,685440,6384,2867312
42,fixed_quality,19,9.569999999999999,957,10000,1.3197766268491744,685440,6384,2867312
42,fixed_quality,20,9.66,966,10000,1.3119390429461002,685440,6384,2867312
42,fixed_quality,21,9.81,981,10000,1.3111930624994637,685440,6384,2867312
42,fixed_quality,22,9.77,977,10000,1.3066705254602433,685440,6384,2867312
42,fixed_quality,23,9.77,977,10000,1.3015075174026192,685440,6384,2867312
42,fixed_quality,24,10.0,1000,10000,1.3040463334468007,685440,6384,2867312
42,fixed_quality,25,10.14,1014,10000,1.3049968219944834,685440,6384,2867312
42,fixed_quality,26,10.549999999999999,1055,10000,1.3039531995105744,685440,6384,2867312
42,fixed_quality,27,10.81,1081,10000,1.3040772515320778,685440,6384,2867312
42,fixed_quality,28,11.219999999999999,1122,10000,1.305725406628251,685440,6384,2867312
42,fixed_quality,29,11.07,1107,10000,1.307386814609766,685440,6384,2867312
42,fixed_quality,30,11.52,1152,10000,1.3102752537751199,685440,6384,2867312
42,mh16,1,1.53,153,10000,3.4393608837366103,1175040,0,2867312
42,mh16,2,1.5599999999999998,156,10000,2.711664805073738,1175040,0,2867312
42,mh16,3,2.39,239,10000,2.2372514186811445,1175040,0,2867312
42,mh16,4,2.9499999999999997,295,10000,1.906643869049549,1175040,0,2867312
42,mh16,5,3.6900000000000004,369,10000,1.6633110247421266,1175040,0,2867312
42,mh16,6,4.2700000000000005,427,10000,1.4954028432643414,1175040,0,2867312
42,mh16,7,4.46,446,10000,1.3824531229686736,1175040,0,2867312
42,mh16,8,4.64,464,10000,1.2984516834247113,1175040,0,2867312
42,mh16,9,4.81,481,10000,1.2351724411022662,1175040,0,2867312
42,mh16,10,5.140000000000001,514,10000,1.1823230001056195,1175040,0,2867312
42,mh16,11,5.4399999999999995,544,10000,1.1424905343848466,1175040,0,2867312
42,mh16,12,5.59,559,10000,1.10628454985857,1175040,0,2867312
42,mh16,13,5.71,571,10000,1.0802946972721814,1175040,0,2867312
42,mh16,14,6.1,610,10000,1.0580937379354238,1175040,0,2867312
42,mh16,15,6.35,635,10000,1.0456169338858128,1175040,0,2867312
42,mh16,16,6.65,665,10000,1.0277636484575272,1175040,0,2867312
