form,ridge_alpha,rmse,mae,r_squared,pearson,spearman,pairwise_ranking_accuracy,kendall_tau,permutation_p_value,null_rmse,null_mae,null_spearman,coefficient_norm,prediction_variance,zero_variance_feature_group_count,zero_variance_target_group_count
form_a,,4.882183786291315,3.919465094631735,-92.46358710559338,-0.19102776105326463,-0.2574310907730796,0.4065226283284398,-0.177803545566299,0.8407592407592407,,,,,,,
form_b,0.01,6.140117799129402,4.881256209636968,-283.3104715242599,-0.2856102895071582,-0.38481462190307614,0.3509344942796396,-0.26988629389856966,1.0,,,,,,,
form_b,0.1,6.113339736030619,4.869229322524718,-282.41153039609014,-0.2862305660595695,-0.38195747904593325,0.3547440180891634,-0.262267246279522,1.0,,,,,,,
form_b,1.0,5.960538673521894,4.800421783139467,-274.3765400568985,-0.2977879930356959,-0.41707298962737366,0.3352867604873275,-0.30074364205620924,1.0,,,,,,,
form_b,10.0,5.4055380693895305,4.400243967870692,-228.09513544032424,-0.33080776653925836,-0.3702093923416573,0.3517398670311498,-0.2775516446865583,1.0,,,,,,,
form_b,100.0,4.573260599135533,3.567023068418586,-130.13805569598645,-0.17225669379843828,-0.14182744961519836,0.4392300631095812,-0.10659527755252567,0.6563436563436563,,,,,,,
form_c,0.01,1.842715072269863,1.605893417294468,-3.118345841643662,-0.639388158348321,-0.6202376735983834,0.25128896017107727,-0.47539687766839556,1.0,0.9788854381999832,0.8614325709550974,0.0,2.289525980036999,1.7137760434346425,0.0,0.2
form_c,0.1,1.542502076260781,1.356725137661055,-1.549153185365926,-0.6447340971114646,-0.643809102169812,0.24557467445679154,-0.48682544909696707,1.0,0.9788854381999832,0.8614325709550974,0.0,1.5649643574054193,0.572663635976765,0.0,0.2
form_c,1.0,1.2980225448479066,1.1661689920168854,-0.807450167903017,-0.6247567915371112,-0.5938200534604282,0.26934853171420936,-0.4462247747447453,1.0,0.9788854381999832,0.8614325709550974,0.0,0.7896378264098354,0.21277356361589067,0.0,0.2
form_c,10.0,1.1962741713559013,1.0792626347737386,-0.557964158990373,-0.3777986036389683,-0.39779224814779185,0.346491541604613,-0.30491681876465476,0.8213786213786214,0.9788854381999832,0.8614325709550974,0.0,0.3346332759947205,0.14993538422143898,0.0,0.2
form_c,100.0,1.0784707870085923,0.963161573447832,-0.23265056387051503,-0.3411014041276463,-0.2882867049573691,0.3891779127047772,-0.22633851351027925,0.6903096903096902,0.9788854381999832,0.8614325709550974,0.0,0.12406791116646791,0.034703871870000194,0.0,0.2
null,,4.3870775828181445,3.4687836768456544,-62.63102471545061,0.0,0.0,0.5,0.0,1.0,,,,,,,
