form,task,n,lambda_quality_pearson,lambda_quality_spearman,quality_delta_pearson,quality_delta_spearman,mean_effective_quality
form_a,ALL,75,-0.11533724386672116,-0.062475106685633,0.038047360789599416,0.0781141606951907,0.47641767320407524
form_a,AGNews-LSTM,15,-0.4607450959405998,-0.42499999999999993,-0.17839415495614758,-0.132976574291323,0.4440673367458166
form_a,Audio-1DCNN,15,0.22608755180938953,0.3,0.2947384984078067,0.28770651895795324,0.23140997877560993
form_a,CIFAR-CNN,15,-0.9421750624645309,-0.8642857142857141,0.48461761110659113,0.2714285714285714,0.44577008384714323
form_a,Fashion-MLP,15,-0.6749107574704369,-0.5714285714285713,-0.312332203464956,-0.27499999999999997,0.6654298801758939
form_a,Tabular-MLP,15,0.4929337929920553,0.5214285714285714,0.27615520392017817,0.44105857646869084,0.5954110864759127
form_b,ALL,75,-0.13689318370205766,-0.20574679943100999,0.038047360789599416,0.0781141606951907,0.47744765551037727
form_b,AGNews-LSTM,15,-0.7638906372108178,-0.4535714285714285,-0.17839415495614758,-0.132976574291323,0.44390538441297245
form_b,Audio-1DCNN,15,0.04104163294028534,0.25357142857142856,0.2947384984078067,0.28770651895795324,0.2313611719158173
form_b,CIFAR-CNN,15,-0.9144866080672905,-0.825,0.48461761110659113,0.2714285714285714,0.449938789014544
form_b,Fashion-MLP,15,-0.7980823743041282,-0.5285714285714286,-0.312332203464956,-0.27499999999999997,0.6667899972446226
form_b,Tabular-MLP,15,0.5058887839884542,0.5714285714285713,0.27615520392017817,0.44105857646869084,0.5952429349639292
