effect,endpoint,seed,difference_pp,paired_mean,sample_sd,ci95_low,ci95_high
ours_minus_declora16,best_accuracy,42,-0.11467889908257689,-0.29816513761467717,0.36804602146516235,-0.7551546321500999,0.15882435692074565
ours_minus_declora16,best_accuracy,43,-0.5733944954128418,-0.29816513761467717,0.36804602146516235,-0.7551546321500999,0.15882435692074565
ours_minus_declora16,best_accuracy,44,-0.34403669724770225,-0.29816513761467717,0.36804602146516235,-0.7551546321500999,0.15882435692074565
ours_minus_declora16,best_accuracy,45,0.22935779816513957,-0.29816513761467717,0.36804602146516235,-0.7551546321500999,0.15882435692074565
ours_minus_declora16,best_accuracy,46,-0.6880733944954045,-0.29816513761467717,0.36804602146516235,-0.7551546321500999,0.15882435692074565
ours_minus_declora16,final_accuracy,42,-0.45871559633027914,-0.5504587155963293,0.2968389703106608,-0.9190329782949536,-0.18188445289770505
ours_minus_declora16,final_accuracy,43,-0.6880733944954187,-0.5504587155963293,0.2968389703106608,-0.9190329782949536,-0.18188445289770505
ours_minus_declora16,final_accuracy,44,-0.5733944954128418,-0.5504587155963293,0.2968389703106608,-0.9190329782949536,-0.18188445289770505
ours_minus_declora16,final_accuracy,45,-0.11467889908256268,-0.5504587155963293,0.2968389703106608,-0.9190329782949536,-0.18188445289770505
ours_minus_declora16,final_accuracy,46,-0.9174311926605441,-0.5504587155963293,0.2968389703106608,-0.9190329782949536,-0.18188445289770505
ours_minus_declora4,best_accuracy,42,-0.34403669724771646,-0.2522935779816521,0.34783832312162855,-0.684191900997347,0.17960474503404283
ours_minus_declora4,best_accuracy,43,-0.34403669724770225,-0.2522935779816521,0.34783832312162855,-0.684191900997347,0.17960474503404283
ours_minus_declora4,best_accuracy,44,0.34403669724770225,-0.2522935779816521,0.34783832312162855,-0.684191900997347,0.17960474503404283
ours_minus_declora4,best_accuracy,45,-0.34403669724770225,-0.2522935779816521,0.34783832312162855,-0.684191900997347,0.17960474503404283
ours_minus_declora4,best_accuracy,46,-0.5733944954128418,-0.2522935779816521,0.34783832312162855,-0.684191900997347,0.17960474503404283
