predictor,is_synthetic,pearson,spearman,n
js_to_global,False,0.09965668262604856,0.14964055246464641,75
kl_to_global,False,0.0957620529191674,0.18676511700740217,75
update_cosine_distance_to_mean,False,0.20016400626946387,0.10425392940020087,75
update_l2_distance_to_mean,False,0.16191701545330914,0.3415288626107441,75
