predictor,is_synthetic,pearson,spearman,n
js_to_global,False,0.06815222035495602,0.13910024517853045,75
kl_to_global,False,0.07788926726564194,0.18039451416322005,75
update_cosine_distance_to_mean,False,0.027369504611514436,0.05452318039086188,75
update_l2_distance_to_mean,False,0.19147417574860207,0.5027710216900031,75
