form,ridge_alpha,rmse,mae,r_squared,pearson,spearman,pairwise_ranking_accuracy,kendall_tau,permutation_p_value
form_a,,5.109510076352525,3.763496616879432,-37.371818954451655,0.020870146565026743,0.0544011822694615,0.5319917866956547,0.0604544965160536,0.48751248751248755
form_b,0.0001,6.878648035727471,5.479523294407709,-327.6292575439224,-0.12494307692136672,-0.18428015051978902,0.4303618685267385,-0.1362111291132429,0.776023976023976
form_b,0.001,6.877641899373176,5.4785651824457045,-327.6069425635787,-0.12496435527392788,-0.18428015051978902,0.4303618685267385,-0.1362111291132429,0.776023976023976
form_b,0.01,6.867674521547542,5.4690440846012764,-327.38430229593877,-0.12517850635539077,-0.18428015051978902,0.4303618685267385,-0.1362111291132429,0.776023976023976
form_b,0.1,6.776594975159985,5.379430453583707,-325.2062892366817,-0.12746044963368183,-0.1885658648055033,0.4265523447172147,-0.14383017673229048,0.776023976023976
form_b,1.0,6.310181402075743,4.815260321519614,-306.6887248573506,-0.17157071223760695,-0.23947851409881094,0.4117043814355165,-0.1719225458901154,0.776023976023976
form_b,10.0,5.708925763781858,4.4971006484303,-207.2218748442966,-0.08889513987899267,-0.06952253994449537,0.46302853519340526,-0.07116699490452714,0.6717282717282718
form_b,100.0,4.862425755471783,3.6409470177324708,-49.93551833613033,-0.05110561436900494,0.03236998260402336,0.4968330464716007,-0.00502202580625132,0.3952047952047952
form_b,300.0,4.6456081797072235,3.3469168995450196,-18.817394527422994,-0.05589669212180787,0.041496692876860045,0.49505359785004677,-0.008715475271975947,0.3596403596403596
form_b,500.0,4.6126664305868434,3.3397066398475728,-12.732109768516267,-0.05726093000337048,0.03036547217717551,0.49105359785004676,-0.016522675855564217,0.3596403596403596
form_b,1000.0,4.603077201132857,3.3532503709187096,-8.73524255953161,-0.05830941092152934,0.03036547217717551,0.49105359785004676,-0.016522675855564217,0.3596403596403596
form_b,10000.0,4.612081651940892,3.373555993370593,-5.990306572731948,-0.05921855039360539,0.0242612543741227,0.48705359785004676,-0.024329876439152475,0.3596403596403596
form_b,100000.0,4.614046122806561,3.3761536679543553,-5.782589461684485,-0.059305163369220246,0.0242612543741227,0.48705359785004676,-0.024329876439152475,0.3596403596403596
form_b,1000000.0,4.614253724488804,3.376416534527229,-5.762635904408164,-0.05931376594128686,0.0242612543741227,0.48705359785004676,-0.024329876439152475,0.3596403596403596
