task,round,client_id,is_synthetic,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,gamma,target_lambda_cv,achieved_lambda_cv,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
CIFAR-CNN,1,0,False,0.396799060799098,2.4499999999999997,0.0580468695814876,29.7222089692032,0.0642635393826736,0.9024849063615884,14.881028938906752,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3559755245420189,2.7557316336123465,1.034133312208533,0.41034312702540626
CIFAR-CNN,1,1,False,0.4093150743377552,-2.3100000000000023,0.1270531045453641,17.569513807327958,0.4984138860489827,0.7967189924583488,55.67142857142857,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.29507937672198925,2.3801415913105073,0.8910972605008894,0.3647395414240916
CIFAR-CNN,1,2,False,0.4113772017371256,2.289999999999999,0.2013488097591719,17.677423134416596,0.8667748461514857,0.6629176105093935,1414.6666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.37174203019711527,2.8529749361517904,1.0747694272905775,0.4421356395114108
CIFAR-CNN,2,0,False,0.3933378683634273,1.1000000000000014,0.0580468695814876,27.38849823270638,0.1091872845066908,0.9024849063615884,14.881028938906752,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.33546600548723693,2.629234779457604,0.9715949561362505,0.3821650889592904
CIFAR-CNN,2,1,False,0.4394558171094404,0.620000000000001,0.1270531045453641,19.69751080506201,0.2889969534588023,0.7967189924583488,55.67142857142857,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3232448806178029,2.553858372722447,0.942997385838664,0.41440568672579636
CIFAR-CNN,2,2,False,0.4967814207597524,3.030000000000001,0.2013488097591719,18.339055676920637,0.433016256611592,0.6629176105093935,1414.6666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3807793080187323,2.908714283890929,1.0854076580250853,0.5392103584572173
CIFAR-CNN,3,0,False,0.3813664683131939,0.8000000000000007,0.0580468695814876,27.516768543398204,0.161164230624762,0.9024849063615884,14.881028938906752,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3366363756161461,2.636453288049066,0.9806243699870085,0.37397725272379617
CIFAR-CNN,3,1,False,0.4521299820662716,0.4600000000000008,0.1270531045453641,21.076426227375133,0.4247186073518083,0.7967189924583488,55.67142857142857,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.33998882323673474,2.657130227210354,0.9886939219593557,0.4470181652045152
CIFAR-CNN,3,2,False,0.513110437505718,1.6700000000000017,0.2013488097591719,16.646525698924645,0.6966779010890121,0.6629176105093935,1414.6666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.35700235689999044,2.7620648422400453,1.030681708053636,0.5288535421485419
CIFAR-CNN,4,0,False,0.4195614080496635,-0.2800000000000011,0.0580468695814876,26.798227264436044,0.2024526621565514,0.9024849063615884,14.881028938906752,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.3300111595509293,2.595590848120228,0.9843773155927092,0.4130067325822251
