context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,8,4,accuracy,3,0.17566666666666667,0.01872387068245595,0.1555,0.1925
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,9,0,accuracy,3,0.20283333333333334,0.08707803014155369,0.1235,0.296
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,9,1,accuracy,3,0.30783333333333335,0.12971346627599362,0.197,0.4505
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,9,2,accuracy,3,0.2875,0.06546563984259225,0.212,0.3285
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,9,3,accuracy,3,0.14533333333333334,0.04974267115197307,0.088,0.177
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,9,4,accuracy,3,0.17683333333333331,0.02993465104746226,0.149,0.2085
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,10,0,accuracy,3,0.21266666666666664,0.07301426801203538,0.1435,0.289
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,10,1,accuracy,3,0.3045,0.13071820837205506,0.203,0.452
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,10,2,accuracy,3,0.296,0.05214403129793478,0.238,0.339
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,10,3,accuracy,3,0.15383333333333332,0.04564080776381301,0.102,0.188
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,10,4,accuracy,3,0.19033333333333333,0.025604361607611564,0.1635,0.2145
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,11,0,accuracy,3,0.21566666666666667,0.08175012742089968,0.1525,0.308
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,11,1,accuracy,3,0.3323333333333333,0.10608644274049976,0.244,0.45
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,11,2,accuracy,3,0.30583333333333335,0.05972087853785587,0.238,0.3505
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,11,3,accuracy,3,0.151,0.040549352645880804,0.1045,0.179
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,11,4,accuracy,3,0.19633333333333333,0.028676354952004154,0.166,0.223
