context_id,variant_id,label,seed,directory,classification,round,personalized_accuracy,personalized_sample_weighted_accuracy,consensus_accuracy,accuracy_gap,worst_domain_accuracy,consensus_distance,mean_train_loss,mean_tail_mass,max_tail_mass,mean_residual_energy,mean_merge_error_energy,mean_relative_merge_error,effective_messages,effective_floats,operational_messages,operational_floats,wall_seconds,cumulative_effective_floats,cumulative_operational_floats
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,19,0.5389212300756528,0.5389,0.135,0.14450000000000002,0.461,199.47457682291667,0.49775715057189146,0.0,0.0,0.0,,,0,0,0,0,0.48243211302906275,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,20,0.5411223817520668,0.5411,0.1348,0.16749999999999998,0.4545,206.258544921875,0.4802414559160841,0.0,0.0,0.0,,,0,0,0,0,0.46737626660615206,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,21,0.5504246375310843,0.5504,0.1382,0.16149999999999998,0.4685,210.616796875,0.4621125806281109,0.0,0.0,0.0,,,0,0,0,0,0.45137473195791245,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,22,0.5503218360789575,0.5503,0.1354,0.16199999999999992,0.4655,218.68473307291666,0.4476814029374349,0.0,0.0,0.0,,,0,0,0,0,0.47266059555113316,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,23,0.5518216867542204,0.5518,0.1365,0.16849999999999998,0.4655,222.02874348958332,0.43149552674902514,0.0,0.0,0.0,,,0,0,0,0,0.4747907128185034,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,24,0.5561225393309351,0.5561,0.1379,0.16699999999999993,0.4665,226.12775065104168,0.4197924072045891,0.0,0.0,0.0,,,0,0,0,0,0.45194925740361214,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,25,0.558821490155823,0.5588,0.1387,0.16499999999999998,0.4695,231.40589192708333,0.40655384243467146,0.0,0.0,0.0,,,0,0,0,0,0.46580716501921415,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,26,0.5585229907568738,0.5585,0.1401,0.16600000000000004,0.471,237.66178385416666,0.3918947065550445,0.0,0.0,0.0,,,0,0,0,0,0.4602129561826587,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,27,0.5661211436323881,0.5661,0.1417,0.15400000000000003,0.488,245.15236002604166,0.38091300781100373,0.0,0.0,0.0,,,0,0,0,0,0.5292303822934628,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,28,0.5648199924061994,0.5648,0.1386,0.16299999999999998,0.4785,248.40852864583334,0.37127711192645957,0.0,0.0,0.0,,,0,0,0,0,0.4882487626746297,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,29,0.5684168426297361,0.5684,0.1418,0.17099999999999999,0.4745,253.35558268229167,0.3612716480943172,0.0,0.0,0.0,,,0,0,0,0,0.47603614162653685,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,30,0.5669192430811621,0.5669,0.1423,0.15800000000000003,0.486,257.87364908854164,0.35052417227514193,0.0,0.0,0.0,,,0,0,0,0,0.4733564658090472,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,31,0.5666189427808618,0.5666,0.1469,0.1805,0.478,262.5620442708333,0.3398452212938264,0.0,0.0,0.0,,,0,0,0,0,0.471167653799057,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,32,0.5706181443812627,0.5706,0.1445,0.16149999999999998,0.489,269.65496419270835,0.3302550973322482,0.0,0.0,0.0,,,0,0,0,0,0.5184716982766986,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,33,0.5746174960567764,0.5746,0.1441,0.15700000000000003,0.497,276.39166666666665,0.32146697754815173,0.0,0.0,0.0,,,0,0,0,0,0.49704900570213795,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,34,0.5749201975588782,0.5749,0.1435,0.16500000000000004,0.487,281.717578125,0.3124507576680503,0.0,0.0,0.0,,,0,0,0,0,0.4905772116035223,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,35,0.5719185452318886,0.5719,0.1466,0.17149999999999999,0.484,285.6518229166667,0.30436387862897185,0.0,0.0,0.0,,,0,0,0,0,0.49042567051947117,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,36,0.5746174960567765,0.5746,0.1476,0.15400000000000003,0.501,291.8743489583333,0.2944846295347598,0.0,0.0,0.0,,,0,0,0,0,0.49390577152371407,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,37,0.5737177957567763,0.5737,0.1471,0.16249999999999998,0.49,298.6098958333333,0.2872650598186615,0.0,0.0,0.0,,,0,0,0,0,0.4908946845680475,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,38,0.576515796155976,0.5765,0.1464,0.16099999999999998,0.4955,304.0042317708333,0.2797548926947933,0.0,0.0,0.0,,,0,0,0,0,0.5091999545693398,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,39,0.5777162469816143,0.5777,0.1444,0.16349999999999998,0.493,311.76653645833335,0.2722086954791262,0.0,0.0,0.0,,,0,0,0,0,0.4914864329621196,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,40,0.5783174478826653,0.5783,0.1425,0.17049999999999998,0.494,316.2099283854167,0.26435524672528476,0.0,0.0,0.0,,,0,0,0,0,0.4653414972126484,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,41,0.5765147456301878,0.5765,0.1449,0.15749999999999997,0.497,323.40068359375,0.2577651121784482,0.0,0.0,0.0,,,0,0,0,0,0.45830468088388443,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,42,0.5742169455812635,0.5742,0.1506,0.16499999999999998,0.4835,330.66930338541664,0.2499787392614728,0.0,0.0,0.0,,,0,0,0,0,0.47496114391833544,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,43,0.5781137959548754,0.5781,0.1497,0.15749999999999997,0.493,339.12330729166666,0.24320296042645542,0.0,0.0,0.0,,,0,0,0,0,0.4796253116801381,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,44,0.5787170979075026,0.5787,0.1524,0.15550000000000003,0.4965,344.02265625,0.23682458268839832,0.0,0.0,0.0,,,0,0,0,0,0.5312188379466534,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,45,0.5787167977572776,0.5787,0.1545,0.16550000000000004,0.4925,352.05442708333334,0.22968656017249953,0.0,0.0,0.0,,,0,0,0,0,0.4882734287530184,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,46,0.5794176485330909,0.5794,0.1537,0.14949999999999997,0.506,358.7529622395833,0.2236202056445157,0.0,0.0,0.0,,,0,0,0,0,0.4973999038338661,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,47,0.5843170006588297,0.5843,0.1559,0.16100000000000003,0.5025,365.2461263020833,0.2170231175553548,0.0,0.0,0.0,,,0,0,0,0,0.49268034007400274,0,0
ded87b4e7797,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-uniform16,full_data_benchmark,48,0.5821146483815149,0.5821,0.1545,0.16449999999999998,0.495,375.74427083333336,0.21246715711054096,0.0,0.0,0.0,,,0,0,0,0,0.4984129313379526,0,0
