context_id,variant_id,label,round,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,personalized_accuracy,3,0.1050802926864896,0.018881989242769102,0.08910754832793814,0.1259190224707466
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,personalized_sample_weighted_accuracy,3,0.10506666666666667,0.0188765286356717,0.0891,0.1259
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,consensus_accuracy,3,0.0162,0.0033511192160232076,0.0129,0.0196
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,accuracy_gap,3,0.0925,0.057818682101895065,0.0315,0.14650000000000002
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,worst_domain_accuracy,3,0.06233333333333334,0.0330391182287502,0.0245,0.0855
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,consensus_distance,3,4.267272016737196,0.020047061655601023,4.245092519124349,4.284100850423177
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,mean_train_loss,3,2.5335707271981938,0.07633235983540511,2.4518147935500574,2.6029724497888664
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,mean_tail_mass,3,0.0008430966747620389,0.0002912204866135624,0.0005108093132613813,0.0010539416291367126
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,max_tail_mass,3,0.004072974863087097,0.0010800250882258189,0.002831425541409057,0.004795585924971067
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,mean_residual_energy,3,0.033842088050268004,0.016031413379123144,0.015717090498947074,0.04616335388661052
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,mean_merge_error_energy,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,mean_relative_merge_error,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,effective_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,effective_floats,3,293760.0,0.0,293760.0,293760.0
