context_id,left_variant_id,right_variant_id,left_label,right_label,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,1bf906c2712a,MH / ΔW / feedback / ring,MH / factor zero-pad / ring,total_effective_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,1bf906c2712a,MH / ΔW / feedback / ring,MH / factor zero-pad / ring,total_effective_floats,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,1bf906c2712a,MH / ΔW / feedback / ring,MH / factor zero-pad / ring,total_operational_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,1bf906c2712a,MH / ΔW / feedback / ring,MH / factor zero-pad / ring,total_operational_floats,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,1bf906c2712a,MH / ΔW / feedback / ring,MH / factor zero-pad / ring,wall_seconds,3,-6.315729910197358,1.9731299690348576,-8.470834077335894,-4.59795411862433
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,personalized_accuracy,3,0.26970348659504084,0.01059253073136666,0.2625637631634633,0.2818739279009145
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,personalized_sample_weighted_accuracy,3,0.2697333333333333,0.010588830593287166,0.26259999999999994,0.28190000000000004
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,consensus_accuracy,3,0.03886666666666667,0.015118641914316683,0.02840000000000001,0.0562
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,accuracy_gap,3,-0.08666666666666666,0.13206090766511236,-0.2385,0.001500000000000029
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,worst_domain_accuracy,3,0.29533333333333334,0.05775018037489865,0.25050000000000006,0.3605
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,consensus_distance,3,1187.9708685980902,95.72718161395589,1132.6947021484375,1298.5070963541666
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,total_effective_messages,3,-1500.0,0.0,-1500.0,-1500.0
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,total_effective_floats,3,-14688000.0,0.0,-14688000.0,-14688000.0
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,total_operational_messages,3,-1500.0,0.0,-1500.0,-1500.0
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,total_operational_floats,3,-14688000.0,0.0,-14688000.0,-14688000.0
b729ad24b6b0,076ae68a5277,51d33462378d,MH / ΔW / feedback / ring,Local / ΔW,wall_seconds,3,-7.551806105300784,1.542309017483355,-9.287001511082053,-6.337020005099475
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,personalized_accuracy,3,0.17441879660770215,0.010126530573825876,0.16764485625055336,0.18605997301649477
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,personalized_sample_weighted_accuracy,3,0.17446666666666666,0.010119453213159949,0.16770000000000002,0.1861
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,consensus_accuracy,3,0.008533333333333329,0.018334212100151268,-0.0023999999999999994,0.02969999999999999
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,accuracy_gap,3,-0.06583333333333331,0.10685309229654207,-0.1885,0.007000000000000034
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,worst_domain_accuracy,3,0.18283333333333332,0.06396548548501242,0.13749999999999998,0.256
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,consensus_distance,3,1.48562825520834,18.949147322472104,-20.38661295572915,12.945182291666654
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,total_effective_messages,3,1800.0,0.0,1800.0,1800.0
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,total_effective_floats,3,17625600.0,0.0,17625600.0,17625600.0
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,total_operational_messages,3,500.0,0.0,500.0,500.0
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,total_operational_floats,3,25600000.0,0.0,25600000.0,25600000.0
b729ad24b6b0,076ae68a5277,658f968893fe,MH / ΔW / feedback / ring,Oracle / ΔW / bridge 5,wall_seconds,3,-1.928912332902352,1.754066955829722,-3.8684310419484973,-0.4537311065942049
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,personalized_accuracy,3,0.14650167408788095,0.021072001201640576,0.1298963131047089,0.17020648834741783
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,personalized_sample_weighted_accuracy,3,0.1465,0.02106727319801973,0.12990000000000002,0.17020000000000002
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,consensus_accuracy,3,-0.011633333333333338,0.00381750354725878,-0.014500000000000013,-0.007300000000000001
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,accuracy_gap,3,-0.09483333333333333,0.14396729952782097,-0.26099999999999995,-0.007500000000000034
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,worst_domain_accuracy,3,0.17750000000000002,0.06758513150094478,0.12800000000000003,0.2545
