context_id,variant_id,label,seed,directory,classification,personalized_accuracy,personalized_sample_weighted_accuracy,consensus_accuracy,accuracy_gap,worst_domain_accuracy,consensus_distance,total_effective_messages,total_effective_floats,total_operational_messages,total_operational_floats,wall_seconds,split_sha256,initial_state_sha256
b729ad24b6b0,51d33462378d,Local / ΔW,42,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.539739289514402,0.5397,0.1504,0.15850000000000003,0.464,1441.8682291666667,0,0,0,0,24.988190344534814,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0
b729ad24b6b0,0eac0e17d3ed,FedAvg / ΔW,42,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.049200024612318455,0.0492,0.0506,0.1195,0.0075,0.037328521410624184,10500,102816000,1500,45744000,30.408866033889353,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0
b729ad24b6b0,cad564bfe53c,MH / ΔW / ring,42,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.30883882383132755,0.3088,0.0646,0.15,0.233,201.79287109375,1500,14688000,1500,14688000,30.775001880712807,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0
b729ad24b6b0,658f968893fe,Oracle / ΔW / bridge 5,42,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.446727086906997,0.4467,0.1239,0.16400000000000003,0.351,122.97451985677084,3300,32313600,2000,40288000,30.555012294091284,733412b45f3f3936f7b496e4aef99f806bf53dfee64fd50600f2ade095cfe385,938074b3242e47609a659b8ff7ef0c51326bd49f3f385db5dd749f846e7954f0
b729ad24b6b0,51d33462378d,Local / ΔW,43,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.5394509952231092,0.5394,0.1358,0.11599999999999999,0.478,1258.2026041666666,0,0,0,0,24.680535445921123,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1
b729ad24b6b0,0eac0e17d3ed,FedAvg / ΔW,43,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.061201831516674104,0.0612,0.0612,0.09899999999999999,0.0065,0.029669241110483805,10500,102816000,1500,45744000,32.02755889482796,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1
b729ad24b6b0,cad564bfe53c,MH / ΔW / ring,43,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.2843321582452017,0.2843,0.0733,0.40049999999999997,0.127,109.79832356770834,1500,14688000,1500,14688000,30.05992016289383,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1
b729ad24b6b0,658f968893fe,Oracle / ΔW / bridge 5,43,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.4424230827529178,0.4424,0.1021,0.16599999999999998,0.3735,137.40621744791667,3300,32313600,2000,40288000,30.563824344426394,e9cc2e360fd23908c40ca7a64fb3541f6d0f5e55b07b57e2b549a8f89d24d4bd,c0d5896f3a9c4a01e5afc521c072f989585fa2763dbdd549deabab57be32e2a1
b729ad24b6b0,51d33462378d,Local / ΔW,44,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.5288412850631742,0.5288,0.1489,0.16349999999999998,0.4405,1251.98515625,0,0,0,0,24.118109316565096,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa
b729ad24b6b0,0eac0e17d3ed,FedAvg / ΔW,44,/home/gogoi/ahlora-runs/p3-heterogeneous-delta,full_data_benchmark,0.06180138159148653,0.0618,0.0602,0.1015,0.009,0.030306673049926756,10500,102816000,1500,45744000,30.53420771844685,65471b9dae74b6c433b3ba7e4444b3147a56d4a254e9da333c545a83d1371429,de4cfd8390ac1b339cd6f1e19269d3c5d05ea421427bd837190ba69865e619aa
