path,comparison_group,status,classification,track,task,arm,seed,primary_metric,n_train,n_validation,n_clients,best_round,best_primary,final_primary,best_accuracy,final_accuracy,best_f1,final_f1,total_steps,total_examples,total_probe_examples,training_bytes,evaluation_assembly_bytes,production_bytes,elapsed_seconds,source_sha256,split_sha256,capacity_scope,warnings,rounds_recorded,checkpoint_verification,checkpoint_verification_kind,checkpoint_verified_endpoints,checkpoint_files_present,error
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-adaptive_uniform-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,adaptive_uniform,46,accuracy,67349,872,10,15,93.80733944954129,93.46330275229357,93.80733944954129,93.46330275229357,93.97321428571429,93.61702127659575,42200,1350400,12800,1291916288,1574627232,1366578022,8583.660664630122,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora16,42,accuracy,67349,872,10,20,94.61009174311927,94.61009174311927,94.61009174311927,94.61009174311927,94.72502805836139,94.72502805836139,42200,1350400,0,1892978000,2366211480,2011288894,8442.43757098727,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora16,43,accuracy,67349,872,10,19,94.4954128440367,94.38073394495413,94.4954128440367,94.38073394495413,94.5823927765237,94.47576099210823,42200,1350400,0,1892978000,2366211480,2011288894,8353.314970104024,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora16,44,accuracy,67349,872,10,18,94.72477064220183,94.61009174311927,94.72477064220183,94.61009174311927,94.85458612975391,94.70124013528749,42200,1350400,0,1892978000,2366211480,2011288894,8451.700325899757,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora16,45,accuracy,67349,872,10,10,94.15137614678899,93.92201834862385,94.15137614678899,93.92201834862385,94.25028184892898,94.0649496080627,42200,1350400,0,1892978000,2366211480,2011288894,8438.198123904876,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora16-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora16,46,accuracy,67349,872,10,19,94.72477064220183,94.72477064220183,94.72477064220183,94.72477064220183,94.8314606741573,94.84304932735427,42200,1350400,0,1892978000,2366211480,2011288894,8306.21634876728,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,uniform-rank reference exceeds some declared client caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora4,42,accuracy,67349,872,10,19,94.83944954128441,94.38073394495413,94.83944954128441,94.38073394495413,94.94949494949495,94.51287793952967,42200,1350400,0,1185160400,1481439480,1259232694,8350.760401144624,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora4,43,accuracy,67349,872,10,20,94.26605504587155,94.26605504587155,94.26605504587155,94.26605504587155,94.39461883408072,94.39461883408072,42200,1350400,0,1185160400,1481439480,1259232694,8478.942534281872,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora4,44,accuracy,67349,872,10,19,94.03669724770643,93.69266055045871,94.03669724770643,93.69266055045871,94.17040358744394,93.85474860335195,42200,1350400,0,1185160400,1481439480,1259232694,8309.604319874197,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora4,45,accuracy,67349,872,10,10,94.72477064220183,94.72477064220183,94.72477064220183,94.72477064220183,94.86607142857143,94.85458612975391,42200,1350400,0,1185160400,1481439480,1259232694,8343.066170648672,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
