seed,epoch,optimizer_steps,pooled_train_loss,distributed_train_loss,pooled_full_test_correct,distributed_full_test_correct,pooled_full_test_accuracy,distributed_full_test_accuracy,test_prediction_disagreements,max_factor_abs_error,train_sample_exposures_per_arm,peer_messages,peer_payload_bytes,wall_seconds
43,5,391,1.525489001083374,1.525488999022022,5427,5427,0.5427,0.5427,0,3.2782554626464844e-07,50000,10948,428898848,15.417972361668944
43,6,391,1.4935359607696532,1.4935359594867286,5424,5424,0.5424,0.5424,0,3.2782554626464844e-07,50000,10948,428898848,14.369221788831055
43,7,391,1.4709178014755249,1.4709178163803927,5502,5502,0.5502,0.5502,0,3.8743019104003906e-07,50000,10948,428898848,13.963332378305495
43,8,391,1.4536965335464478,1.4536965380216018,5562,5562,0.5562,0.5562,0,3.8743019104003906e-07,50000,10948,428898848,13.171588357537985
43,9,391,1.4393169750595092,1.4393169895427884,5520,5520,0.552,0.552,0,3.8743019104003906e-07,50000,10948,428898848,13.467570913024247
43,10,391,1.4289918238067627,1.4289918268897814,5601,5601,0.5601,0.5601,0,4.172325134277344e-07,50000,10948,428898848,13.22168904542923
43,11,391,1.4179397438812256,1.4179397401120235,5595,5595,0.5595,0.5595,0,4.3213367462158203e-07,50000,10948,428898848,13.2856897553429
43,12,391,1.4097820346069336,1.4097820378097239,5640,5640,0.564,0.564,0,4.6193599700927734e-07,50000,10948,428898848,13.33066198322922
43,13,391,1.4028316256332398,1.4028316211370007,5654,5654,0.5654,0.5654,0,4.76837158203125e-07,50000,10948,428898848,13.432441399432719
43,14,391,1.3938363661956787,1.3938363696434068,5650,5650,0.565,0.565,0,4.917383193969727e-07,50000,10948,428898848,13.381802809424698
43,15,391,1.3881571867752076,1.3881571860487714,5679,5679,0.5679,0.5679,0,5.066394805908203e-07,50000,10948,428898848,13.483411246910691
43,16,391,1.3824921644210815,1.382492173332062,5658,5658,0.5658,0.5658,0,5.960464477539062e-07,50000,10948,428898848,13.620784856379032
43,17,391,1.3789792462158204,1.3789792527021492,5676,5676,0.5676,0.5676,0,5.960464477539062e-07,50000,10948,428898848,13.143876129761338
43,18,391,1.3739511029434204,1.3739510894398392,5673,5673,0.5673,0.5673,0,6.258487701416016e-07,50000,10948,428898848,13.088284227997065
43,19,391,1.368596698074341,1.3685966902210813,5755,5755,0.5755,0.5755,0,5.960464477539062e-07,50000,10948,428898848,13.248281205072999
43,20,391,1.3650966987228395,1.3650967021876876,5657,5657,0.5657,0.5657,0,6.258487701416016e-07,50000,10948,428898848,13.3670544764027
43,21,391,1.3617016096496581,1.3617015993302357,5697,5697,0.5697,0.5697,0,5.960464477539062e-07,50000,10948,428898848,13.226924100890756
43,22,391,1.3596786405181884,1.3596786432646513,5691,5691,0.5691,0.5691,0,5.662441253662109e-07,50000,10948,428898848,13.119973814114928
43,23,391,1.3561709966659545,1.356170999379214,5759,5759,0.5759,0.5759,0,5.960464477539062e-07,50000,10948,428898848,13.505693745799363
43,24,391,1.3535422147750855,1.353542208170074,5748,5748,0.5748,0.5748,0,5.21540641784668e-07,50000,10948,428898848,13.813291870988905
43,25,391,1.348537391090393,1.3485373865589114,5710,5710,0.571,0.571,0,5.066394805908203e-07,50000,10948,428898848,13.909016089513898
43,26,391,1.348805661087036,1.3488056524918228,5721,5721,0.5721,0.5721,0,5.066394805908203e-07,50000,10948,428898848,13.680017377249897
43,27,391,1.3467262530136108,1.346726250657863,5748,5748,0.5748,0.5748,0,5.960464477539062e-07,50000,10948,428898848,13.647462595254183
43,28,391,1.3427975043487548,1.3427974966437253,5734,5734,0.5734,0.5734,0,6.258487701416016e-07,50000,10948,428898848,13.519036201760173
43,29,391,1.3423385115814208,1.3423385200895928,5729,5729,0.5729,0.5729,0,5.662441253662109e-07,50000,10948,428898848,13.237425507977605
43,30,391,1.3387717792892455,1.3387717867392768,5663,5663,0.5663,0.5663,0,5.364418029785156e-07,50000,10948,428898848,13.353918817825615
44,1,391,2.832945732498169,2.832945731601119,4278,4278,0.4278,0.4278,0,3.8743019104003906e-07,50000,10948,428898848,15.836792993359268
44,2,391,1.8215135011672974,1.8215135058399663,4931,4931,0.4931,0.4931,0,3.5762786865234375e-07,50000,10948,428898848,13.475883978419006
44,3,391,1.6488215444946288,1.648821549386084,5200,5200,0.52,0.52,0,3.5762786865234375e-07,50000,10948,428898848,14.039781533181667
44,4,391,1.5731535994720458,1.573153606576249,5290,5290,0.529,0.529,0,4.023313522338867e-07,50000,10948,428898848,13.177197290584445
44,5,391,1.5301597599029542,1.5301597676245775,5426,5426,0.5426,0.5426,0,4.023313522338867e-07,50000,10948,428898848,13.337130726315081
44,6,391,1.4976388151931763,1.4976388199276849,5487,5487,0.5487,0.5487,0,3.725290298461914e-07,50000,10948,428898848,13.626583118923008
44,7,391,1.4762057223510743,1.4762057204329222,5490,5490,0.549,0.549,0,3.725290298461914e-07,50000,10948,428898848,14.891995338723063
44,8,391,1.457395761642456,1.457395747062913,5514,5514,0.5514,0.5514,0,3.427267074584961e-07,50000,10948,428898848,14.98619410675019
44,9,391,1.4438226119995117,1.4438226102101976,5565,5565,0.5565,0.5565,0,3.725290298461914e-07,50000,10948,428898848,18.076531073078513
44,10,391,1.4297738731765748,1.429773871464019,5587,5587,0.5587,0.5587,0,3.2782554626464844e-07,50000,10948,428898848,18.307715378701687
44,11,391,1.4194129834747315,1.4194129845774504,5589,5589,0.5589,0.5589,0,3.5390257835388184e-07,50000,10948,428898848,19.00808106455952
44,12,391,1.4092308749389648,1.409230882008467,5621,5621,0.5621,0.5621,0,3.5762786865234375e-07,50000,10948,428898848,17.966787395998836
44,13,391,1.4019437741088867,1.4019437877324596,5602,5602,0.5602,0.5602,0,3.762543201446533e-07,50000,10948,428898848,16.87276861257851
44,14,391,1.3951840580749513,1.395184070069939,5644,5644,0.5644,0.5644,0,3.7997961044311523e-07,50000,10948,428898848,18.858604911714792
44,15,391,1.3852431338119506,1.385243139018109,5680,5680,0.568,0.568,0,4.172325134277344e-07,50000,10948,428898848,15.41558007337153
44,16,391,1.381072414703369,1.3810724241243768,5670,5670,0.567,0.567,0,4.172325134277344e-07,50000,10948,428898848,15.185929282568395
44,17,391,1.3760908107757568,1.3760908166092634,5711,5711,0.5711,0.5711,0,4.76837158203125e-07,50000,10948,428898848,14.615576054900885
44,18,391,1.3711531102752685,1.3711531159959267,5655,5655,0.5655,0.5655,0,4.76837158203125e-07,50000,10948,428898848,14.86700873170048
44,19,391,1.367767728805542,1.3677677192595927,5687,5687,0.5687,0.5687,0,5.066394805908203e-07,50000,10948,428898848,17.987629912793636
44,20,391,1.363382466659546,1.3633824766099838,5704,5704,0.5704,0.5704,0,4.76837158203125e-07,50000,10948,428898848,18.73140064906329
44,21,391,1.3581165811538696,1.3581165850518457,5660,5660,0.566,0.566,0,4.76837158203125e-07,50000,10948,428898848,17.794133879244328
44,22,391,1.354998989830017,1.3549989915417961,5712,5712,0.5712,0.5712,0,4.76837158203125e-07,50000,10948,428898848,19.37852784898132
44,23,391,1.3517924505233765,1.3517924624024145,5726,5726,0.5726,0.5726,0,4.76837158203125e-07,50000,10948,428898848,18.184118930250406
44,24,391,1.349315697669983,1.349315706300335,5719,5719,0.5719,0.5719,0,4.842877388000488e-07,50000,10948,428898848,18.32050716225058
44,25,391,1.3456057431793214,1.3456057295950097,5733,5733,0.5733,0.5733,0,4.6938657760620117e-07,50000,10948,428898848,18.624278653413057
44,26,391,1.3442864280700684,1.3442864280446711,5726,5726,0.5726,0.5726,0,4.6193599700927734e-07,50000,10948,428898848,18.835561125539243
44,27,391,1.3418730097961427,1.3418730078752836,5712,5712,0.5712,0.5712,0,5.066394805908203e-07,50000,10948,428898848,16.827277097851038
44,28,391,1.3390127214431762,1.3390127287955582,5744,5744,0.5744,0.5744,0,5.662441253662109e-07,50000,10948,428898848,14.915541536174715
44,29,391,1.3366312746429443,1.3366312903461652,5732,5732,0.5732,0.5732,0,5.960464477539062e-07,50000,10948,428898848,14.909959442913532
44,30,391,1.3345880368041991,1.3345880456239652,5725,5725,0.5725,0.5725,0,5.364418029785156e-07,50000,10948,428898848,14.885560004971921
